latitude,longitude
40.738790,-73.994550
40.702410,-73.926630
40.766130,-73.829390
40.692440,-73.940090
40.690530,-73.989940
40.618280,-73.932570
40.693590,-73.966530
40.687050,-73.977690
40.831020,-73.919750
40.785430,-73.957260
40.845400,-73.858930
40.715460,-73.934130
40.588830,-73.960320
40.708260,-74.054580
40.706860,-73.923530
40.719150,-74.009940
40.660240,-73.917840
40.589980,-73.995700
40.792510,-73.951920
40.745680,-74.008720
